Sites to search,Reliability,Oped?,Pay?,Notes,timestamp,score,Label,name,AdditionalData,attribute,value
+ACo-.abc.net.au/+ACo-,Perennial,Y+ACo-,N,,,,,,,,
+ACo-.abcnews.go.com/+ACo-,Perennial,N,N,,0x00061a149afa1693,1,,+AF8-include+AF8-,,original+AF8-url,abcnews.go.com
+ACo-.afp.com/+ACo-,Perennial,N,Y,,0x00061a14b25769e1,1,,+AF8-include+AF8-,,original+AF8-url,AFP.com
+ACo-.aljazeera.com/+ACo-,Perennial,Y / Y,N,,0x00061a14c4af03f4,1,,+AF8-include+AF8-,,original+AF8-url,Aljazeera.com
+ACo-.americanpressinstitute.org/+ACo-,,N,N,,,,,,,,
+ACo-.amnesty.org/+ACo-,Perennial,Y+ACo-?,N,,0x00061a14c4c64a8e,1,,+AF8-include+AF8-,,original+AF8-url,Amnesty.org
+ACo-.apnews.com/+ACo-,Perennial,N,N,,0x00061a149afa16db,1,,+AF8-include+AF8-,,original+AF8-url,APnews.com
+ACo-.arte.tv/en/+ACo-,State Media Monitor,N,N,,,,,,,,
+ACo-.arstechnica.com/+ACo-,Perennial,N,N,,0x00061a14c4f5ab72,1,,+AF8-include+AF8-,,original+AF8-url,arstechnica.com
+ACo-.atlasobscura.com/articles+ACo-,Perennial,Y / Y,N,,0x00061a14dd96bff9,1,,+AF8-include+AF8-,,original+AF8-url,https://+ACo-.atlasobscura.com/
+ACo-.avclub.com/+ACo-,Perennial,Y+ACo-,Y,,0x00061a14ddc1290b,1,,+AF8-include+AF8-,,original+AF8-url,avclub.com
+ACo-.axios.com/+ACo-,Perennial,Y+ACo-,N,,0x00061a149afa171b,1,,+AF8-include+AF8-,,original+AF8-url,Axios.com
+ACo-.bbc.com/+ACo-,Perennial,N,N,,0x00061a149afa1b12,1,,+AF8-include+AF8-,,original+AF8-url,bbc.com
+ACo-.behindthevoiceactors.com/+ACo-,Perennial,Y / Y,N,,0x00061a14dde818f2,1,,+AF8-include+AF8-,,original+AF8-url,https://+ACo-.behindthevoiceactors.com
+ACo-.bellingcat.com/+ACo-,Perennial,N,N,,0x00061a14ddfd8399,1,,+AF8-include+AF8-,,original+AF8-url,bellingcat.com
+ACo-.bloomberg.com/+ACo-,Perennial,Y,Y,,0x00061a149afa175c,1,,+AF8-include+AF8-,,original+AF8-url,Bloomberg.com
+ACo-.burkespeerage.com/+ACo-,Perennial,N,Y,,0x00061a14de142128,1,,+AF8-include+AF8-,,original+AF8-url,burkespeerage.com
+ACo-.buzzfeednews.com/+ACo-,Perennial,Y+ACo-,N,Can only filter by author,0x00061a14de2b8e0c,1,,+AF8-include+AF8-,,original+AF8-url,buzzfeednews.com
+ACo-.calmatters.org/+ACo-,INN,Y / Y,N,,,,,,,,
+ACo-.cbc.ca/+ACo-,State Media Monitor,N,N,,,,,,,,
+ACo-.cbsnews.com/+ACo-,Perennial,N,N,,0x00061a149afa17c3,1,,+AF8-include+AF8-,,original+AF8-url,CBSnews.com
+ACo-.channel4.com/+ACo-,State Media Monitor,N,N,,,,,,,,
+ACo-.checkyourfact.com/+ACo-,Perennial,N,N,,,,,,,,
+ACo-.cjr.org/+ACo-,INN Affiliate,Y / Y,N,,,,,,,,
+ACo-.climatefeedback.org/+ACo-,Perennial,N,N,,0x00061a14de3f1bfb,1,,+AF8-include+AF8-,,original+AF8-url,climatefeedback.org
+ACo-.cnn.com/+ACo-,Perennial,Y / Y,N,,0x00061a149afa1803,1,,+AF8-include+AF8-,,original+AF8-url,CNN.com
+ACo-.codastory.com/+ACo-,Perennial,N,N,,0x00061a14de5294c4,1,,+AF8-include+AF8-,,original+AF8-url,codastory.com
+ACo-.commonsensemedia.org/+ACo-,Perennial,N,N,,0x00061a14de68ebe5,1,,+AF8-include+AF8-,,original+AF8-url,https://+ACo-.commonsensemedia.org
+ACo-.csmonitor.com/+ACo-,Perennial,Y,Y,,0x00061a149afa1b51,1,,+AF8-include+AF8-,,original+AF8-url,Csmonitor.com
+ACo-.current.org/+ACo-,INN,Y+ACo-,N?,,,,,,,,
+ACo-.deadline.com/+ACo-,Perennial,Y+ACo-,N,,0x00061a14deaa1366,1,,+AF8-include+AF8-,,original+AF8-url,deadline.com
+ACo-.denofgeek.com/+ACo-,Perennial,N,N,,,,,,,,
+ACo-.deseret.com/+ACo-,Perennial,Y / Y,N,,0x00061a14debe5a0f,1,,+AF8-include+AF8-,,original+AF8-url,Deseret.com
+ACo-.digitalspy.com/+ACo-,Perennial,Y / Y,N,,0x00061a14deeab58a,1,,+AF8-include+AF8-,,original+AF8-url,digitalspy.com
+ACo-.dw.com/+ACo-,Perennial,Y / Y,N,,0x00061a14ded2b4e6,1,,+AF8-include+AF8-,,original+AF8-url,+ACo-.dw.com
+ACo-.economist.com/+ACo-,Perennial,Y,Y,,0x00061a14df123f76,1,,+AF8-include+AF8-,,original+AF8-url,economist.com
+ACo-.editorandpublisher.com/+ACo-,,N,N?,,,,,,,,
+ACo-.efe.com/en/+ACo-,State Media Monitor,N?,N,,,,,,,,
